lei_number,url,Legal Name,Language Code,Other Entity Names,Legal Address (English),Headquarters Address (English),Legal Jurisdiction Country,Legal Jurisdiction Region,Registration Authority,Registration Authority ID,Registration Authority Entity ID,Entity Legal Form Code,Entity Category,Entity Status,Entity Creation Date
549300YIQ7S7Z8PIHE53,https://lei.bloomberg.com/leis/view/549300YIQ7S7Z8PIHE53,AMERISAVE MORTGAGE CORPORATION,en,,"C/O Corporation Service Company
2 Sun Court
Suite 400
Peachtree Corner, Georgia (US-GA), 30092
UNITED STATES","1200 Altmore Avenue
Building 2
Suite 300
Sandy Springs, Georgia (US-GA), 30342
UNITED STATES",UNITED STATES (US),Georgia (US-GA),,(US-GA): Georgia Secretary of State Corporations Division (RA000604),202361,Profit Corporation (MFYJ),GENERAL,ACTIVE,"2002-01-16 00:00:00
Legal Entity Events
Legal Entity Event 1
Event Type
CHANGE_LEGAL_ADDRESS
Effective Date
2022-03-11 00:00:00
Recorded Date
2022-07-26 14:09:45
Validation Documents
REGULATORY_FILING
Event Status
COMPLETED"
COINQMNIM6RBU631DD85,https://lei.bloomberg.com/leis/view/COINQMNIM6RBU631DD85,Arvest Bank,en,,"75 N East Ave
Fayetteville, Arkansas (US-AR), 72701
UNITED STATES","75 N East Ave
Fayetteville, Arkansas (US-AR), 72701
UNITED STATES",UNITED STATES (US),Arkansas (US-AR),,Federal Deposit Insurance Corporation (RA000744),8728,Commercial Bank (JR6U),GENERAL,ACTIVE,1870-12-31 23:59:50
254900RFZH9I62FGU045,https://lei.bloomberg.com/leis/view/254900RFZH9I62FGU045,"AMERICAN MORTGAGE BANK, INC.",en,"Other Entity Name 1
Name
American Mortgage Bank, LLC
Type
PREVIOUS_LEGAL_NAME","C/O KAYLI CHRISTENSEN
3401 NW 63RD ST STE 620
OKLAHOMA CITY, Oklahoma (US-OK), 73116
UNITED STATES","3401 Nw 63Rd Street
Suite 600
OKlahoma City, Oklahoma (US-OK), 73116
UNITED STATES",UNITED STATES (US),Oklahoma (US-OK),,(US-OK): Business Filing Department (Oklahoma Secretary of State) (RA000630),1913620964,Profit Corporation (BGH4),GENERAL,ACTIVE,"2024-04-04 00:00:00
Legal Entity Events
Legal Entity Event 1
Event Type
CHANGE_LEGAL_NAME
Effective Date
2024-04-01 00:00:00
Recorded Date
2024-11-27 00:00:00
Validation Documents
SUPPORTING_DOCUMENTS
Event Status
COMPLETED"
549300YMV5FVP7DXOG44,https://lei.bloomberg.com/leis/view/549300YMV5FVP7DXOG44,COMMONWEALTH ONE,en,,"4875 Eisenhower Ave
Alexandria, Virginia (US-VA), 22304-4886
UNITED STATES","4875 Eisenhower Ave
Alexandria, Virginia (US-VA), 22304-4886
UNITED STATES",UNITED STATES (US),,,National Credit Union Administration (RA000745),5134,Credit Union (14OD),GENERAL,ACTIVE,"1944-01-01 00:00:00
Website
cofcu.org"
549300OZV7J05G72WS11,https://lei.bloomberg.com/leis/view/549300OZV7J05G72WS11,"IH CREDIT UNION, INC.",en,,"5000 URBANA ROAD
SPRINGFIELD, Ohio (US-OH), 45502
UNITED STATES","5000 Urbana Road
Springfield, Ohio (US-OH), 45502
UNITED STATES",UNITED STATES (US),Ohio (US-OH),,(US-OH): Corporation Database (Ohio Secretary of State) (RA000629),160950,Corporation (Nonprofit) (7VK5),GENERAL,ACTIVE,2018-06-19 00:00:00
549300K6AZER0SHGEN26,https://lei.bloomberg.com/leis/view/549300K6AZER0SHGEN26,"SUMMIT HOME MORTGAGE, LLC",en,,"C/O CORPORATION SERVICE COMPANY
251 LITTLE FALLS DRIVE
WILMINGTON, Delaware (US-DE), 19808
UNITED STATES","221 South Drake
Kalamazoo, Michigan (US-MI), 49009
UNITED STATES",UNITED STATES (US),Delaware (US-DE),,"(US-DE): Division of Corporations, Department of State (RA000602)",5335027,Limited Liability Company (HZEH),GENERAL,ACTIVE,"2013-05-15 00:00:00
Legal Entity Events
Legal Entity Event 1
Event Type
CHANGE_HQ_ADDRESS
Effective Date
2024-04-12 00:00:00
Recorded Date
2024-10-29 15:11:25
Validation Documents
SUPPORTING_DOCUMENTS
Event Status
COMPLETED"
549300K3VE61PXPZDV51,https://lei.bloomberg.com/leis/view/549300K3VE61PXPZDV51,"J. VIRGIL, INC.",en,,"C/O MEGAN BRAZELTON
15173 NORTH RD
SUITE 110
FENTON, Michigan (US-MI), 48430
UNITED STATES","2000 PGA Blvd Ste 3220 Bldg A
Ste 3220
Palm Beach Gardens, Florida (US-FL), 33408
UNITED STATES",UNITED STATES (US),Michigan (US-MI),,(US-MI): Corporations Division (Department of Licensing and Regulatory Affairs) (RA000616),800569086,Corporation (For-Profit) (U7HC),GENERAL,ACTIVE,
549300677KFX04XEUM68,https://lei.bloomberg.com/leis/view/549300677KFX04XEUM68,YOUR HOME FINANCIAL LLC,en,,"C/O CORPORATION SERVICE COMPANY
251 LITTLE FALLS DRIVE
WILMINGTON, Delaware (US-DE), 19808
UNITED STATES","26615 Center Ridge Road
Unit #4
Westlake, Ohio (US-OH), 44145
UNITED STATES",UNITED STATES (US),Delaware (US-DE),,"(US-DE): Division of Corporations, Department of State (RA000602)",7251310,Limited Liability Company (HZEH),GENERAL,ACTIVE,"2019-03-04 00:00:00
Legal Entity Events
Legal Entity Event 1
Event Type
CHANGE_HQ_ADDRESS
Effective Date
2024-01-01 00:00:00
Recorded Date
2024-10-29 15:07:15
Validation Documents
SUPPORTING_DOCUMENTS
Event Status
COMPLETED"
549300Q7ODSDOEDUNP68,https://lei.bloomberg.com/leis/view/549300Q7ODSDOEDUNP68,"FIRST INTEGRITY MORTGAGE SERVICES, INC.","en
Legal Address
c/o JOSEPH F. BAYER, JR.
1807 PARK 270 DRIVE, SUITE 265
ST. LOUIS, Missouri (US-MO), 63146
UNITED STATES
Headquarters Address
c/o JOSEPH F. BAYER, JR.
1807 PARK 270 DRIVE, SUITE 265
ST. LOUIS, Missouri (US-MO), 63146
UNITED STATES",,,,UNITED STATES (US),Missouri (US-MO),,"(US-MO): Corporations Unit, Business Services (Office of the Secretary of State) (RA000618)",377736,For-Profit Corporation (KC7Z),GENERAL,ACTIVE,1993-03-04 00:00:00
549300TAFYLARKCKJ639,https://lei.bloomberg.com/leis/view/549300TAFYLARKCKJ639,Bank of Monticello,en,,"141 Green Street
Monticello, Georgia (US-GA), 31064
UNITED STATES","141 Green Street
Monticello, Georgia (US-GA), 31064
UNITED STATES",UNITED STATES (US),Georgia (US-GA),,Federal Deposit Insurance Corporation (RA000744),2145,Commercial Bank (GR2X),GENERAL,ACTIVE,1909-01-01 00:00:00
5493004T9SQFCNRQ2L76,https://lei.bloomberg.com/leis/view/5493004T9SQFCNRQ2L76,DELMAR FINANCIAL COMPANY,en,"Other Entity Name 1
Name
Delmar Mortgage
Type
TRADING_OR_OPERATING_NAME","C/O Levison, Matthew
1066 Executive Parkway
Suite 100
St. Louis, Missouri (US-MO), 63141
UNITED STATES","1066 Executive Parkway
Suite 100
Saint Louis, Missouri (US-MO), 63141
UNITED STATES",UNITED STATES (US),Missouri (US-MO),,"(US-MO): Corporations Unit, Business Services (Office of the Secretary of State) (RA000618)",120508,For-Profit Corporation (KC7Z),GENERAL,ACTIVE,"1966-04-26 00:00:00
Website
delmarmortgage.com
Legal Entity Events
Legal Entity Event 1
Event Type
CHANGE_OTHER_NAMES
Effective Date
2024-01-24 00:00:00
Recorded Date
2024-12-24 16:52:37
Validation Documents
SUPPORTING_DOCUMENTS
Event Status
COMPLETED"
549300GSN9VF5S618659,https://lei.bloomberg.com/leis/view/549300GSN9VF5S618659,"GUARANTY MORTGAGE SERVICES, L.L.C.",en,,"C/O ILLINOIS CORPORATION SERVICE COMPANY
801 ADLAI STEVENSON DRIVE
SPRINGFIELD, Illinois (US-IL), 62703-4261
UNITED STATES","5072 BRISTOL INDUSTRIAL WAY
STE E
BUFORD, Georgia (US-GA), 30518
UNITED STATES",UNITED STATES (US),Illinois (US-IL),,(US-IL): Business Services (Office of the Secretary of State) (RA000608),2073684,Limited Liability Company (8RLE),GENERAL,ACTIVE,2007-01-09 00:00:00
254900WRTMJD6GMNS670,https://lei.bloomberg.com/leis/view/254900WRTMJD6GMNS670,Contract Exchange Corporation,en,,"C/O Anthony E Schubert
425 2nd Street SE
Suite 370
Cedar Rapids, Iowa (US-IA), 52401
UNITED STATES","425 2nd Street SE
Suite 370
Cedar Rapids, Iowa (US-IA), 52401
UNITED STATES",UNITED STATES (US),Iowa (US-IA),,(US-IA): Business Services Division (Secretary of State) (RA000606),9287,Profit Corporation (DU35),GENERAL,ACTIVE,"1981-04-21 00:00:00
Website
http://www.contractexchange.net"
254900XZCT60J2G3HK85,https://lei.bloomberg.com/leis/view/254900XZCT60J2G3HK85,Blue Federal Credit Union,en,,"2401 E. Pershing Blvd
Cheyenne, Wyoming (US-WY), 82001
UNITED STATES","2401 E. Pershing Blvd
Cheyenne, Wyoming (US-WY), 82001
UNITED STATES",UNITED STATES (US),,,National Credit Union Administration (RA000745),7361,Credit Union (14OD),GENERAL,ACTIVE,"1951-01-01 00:00:00
Website
www.bluefcu.com"
549300C5YLTTVIWX4J11,https://lei.bloomberg.com/leis/view/549300C5YLTTVIWX4J11,"PREFERRED LENDING SERVICES, LLC",en,,"C/O CORPORATION SERVICE COMPANY
251 LITTLE FALLS DRIVE
WILMINGTON, Delaware (US-DE), 19808
UNITED STATES","3228 LITHIA PINECREST ROAD
SUITE 102
VALRICO, Florida (US-FL), 33594
UNITED STATES",UNITED STATES (US),Delaware (US-DE),,"(US-DE): Division of Corporations, Department of State (RA000602)",7121006,Limited Liability Company (HZEH),GENERAL,ACTIVE,"2018-10-26 00:00:00
Legal Entity Events
Legal Entity Event 1
Event Type
CHANGE_HQ_ADDRESS
Effective Date
2023-09-19 00:00:00
Recorded Date
2024-10-29 15:31:53
Validation Documents
SUPPORTING_DOCUMENTS
Event Status
COMPLETED"
5493007XXF5AWOEWTU94,https://lei.bloomberg.com/leis/view/5493007XXF5AWOEWTU94,Mutual Federal Bank,en,"Other Entity Name 1
Name
Mutual Federal Savings and Loan Association of Chicago
Type
PREVIOUS_LEGAL_NAME","2212 West Cermak Road
Chicago, Illinois (US-IL), 60608
UNITED STATES","2212 West Cermak Road
Chicago, Illinois (US-IL), 60608
UNITED STATES",UNITED STATES (US),Illinois (US-IL),,Federal Deposit Insurance Corporation (RA000744),28302,Savings Bank (COKS),GENERAL,ACTIVE,1904-12-31 23:59:50
5493001TX1L6BVUQ0J60,https://lei.bloomberg.com/leis/view/5493001TX1L6BVUQ0J60,Bank of Odessa,en,"Other Entity Name 1
Name
Bank of Odessa Oak Grove La Monte
Type
TRADING_OR_OPERATING_NAME","301 W Us Highway 40
Odessa, Missouri (US-MO), 64076
UNITED STATES","301 West Highway 40
Odessa, Missouri (US-MO), 64076
UNITED STATES",UNITED STATES (US),Missouri (US-MO),,Federal Deposit Insurance Corporation (RA000744),9803,Commercial Bank (J1JO),GENERAL,ACTIVE,"1879-12-31 23:59:50
Website
www.bankofodessa.com
Legal Entity Events
Legal Entity Event 1
Event Type
CHANGE_OTHER_NAMES
Effective Date
2022-11-05 00:00:00
Recorded Date
2023-08-31 23:08:51
Validation Documents
SUPPORTING_DOCUMENTS
Event Status
COMPLETED"
254900LW4R4AM7URY378,https://lei.bloomberg.com/leis/view/254900LW4R4AM7URY378,Great Oaks Bank,en,,"5101 5th Avenue
Eastman, Georgia (US-GA), 31023
UNITED STATES","5101 5th Ave
P.O. Box 339
Eastman, Georgia (US-GA), 31023
UNITED STATES",UNITED STATES (US),Georgia (US-GA),,Federal Deposit Insurance Corporation (RA000744),16780,Commercial Bank (GR2X),GENERAL,ACTIVE,"1934-01-01 00:00:00
Website
greatoaks.bank"
549300ZGTXNHL5BKQZ27,https://lei.bloomberg.com/leis/view/549300ZGTXNHL5BKQZ27,"DIRECTIONS EQUITY, LLC",en,,"C/O Registered Agent Solutions, Inc.
Corporate Center One
5301 Southwest Parkway
Austin, Texas (US-TX), 78735
UNITED STATES","2915 West Bitters Road
Suite 102
San Antonio, Texas (US-TX), 78248
UNITED STATES",UNITED STATES (US),Texas (US-TX),,(US-TX): Corporations Section (Texas Secretary of State) (RA000637),800869335,Limited Liability Company (WYG5),GENERAL,ACTIVE,2007-09-10 00:00:00
549300BMJCCKS0LIQJ45,https://lei.bloomberg.com/leis/view/549300BMJCCKS0LIQJ45,HORIZON UTAH Federal Credit Union,en,,"225 S 200 W
Farmington, Utah (US-UT), 84025
UNITED STATES","PO Box 687
225 South 200 West
Farmington, Utah (US-UT), 84025
UNITED STATES",UNITED STATES (US),Utah (US-UT),,National Credit Union Administration (RA000745),24746,"Other (8888)
Other Legal Form
CREDIT_UNION",GENERAL,ACTIVE,
2549003Q4MH7EVI34Z09,https://lei.bloomberg.com/leis/view/2549003Q4MH7EVI34Z09,MNB Bank,en,,"220 Norris Ave
McCook, Nebraska (US-NE), 69001
UNITED STATES","220 Norris Ave
McCook, Nebraska (US-NE), 69001
UNITED STATES",UNITED STATES (US),,,Federal Deposit Insurance Corporation (RA000744),5434,National Bank (62VJ),GENERAL,ACTIVE,"1907-10-01 00:00:00
Website
www.mnb.bank"
549300K4ZLGS7SRDTL86,https://lei.bloomberg.com/leis/view/549300K4ZLGS7SRDTL86,Equity Prime Mortgage LLC,"en
Legal Address
5 Concourse Pkwy, Suite 2250
Atlanta, Georgia (US-GA), 30328
UNITED STATES
Headquarters Address
5 Concourse Pkwy, Suite 2250
Atlanta, Georgia (US-GA), 30328
UNITED STATES",,,,UNITED STATES (US),Georgia (US-GA),,(US-GA): Georgia Secretary of State Corporations Division (RA000604),8016855,Limited Liability Company (6IIM),GENERAL,ACTIVE,2008-02-27 00:00:00
549300V7S0JJB4LU5J82,https://lei.bloomberg.com/leis/view/549300V7S0JJB4LU5J82,"WINTERWOOD MORTGAGE GROUP, LLC",en,,"C/O Derrick Christy
107 N State Road 135 Suite 301
Greenwood, Indiana (US-IN), 46142
UNITED STATES","107 North State Road 135
Suite 301
Greenwood, Indiana (US-IN), 46142
UNITED STATES",UNITED STATES (US),Indiana (US-IN),,(US-IN): Business Services Division (Secretary of State) (RA000609),1994011040,Limited Liability Company (DQBZ),GENERAL,ACTIVE,1994-01-04 00:00:00
254900KSSD1QWXBEPB68,https://lei.bloomberg.com/leis/view/254900KSSD1QWXBEPB68,State Bank of Newburg,en,,"300 Congress Dr Hwy 33
PO Box 20
Newburg, Wisconsin (US-WI), 53060
UNITED STATES","300 Congres Dr Hwy 33
PO Box 20
Newburg, Wisconsin (US-WI), 53060
UNITED STATES",UNITED STATES (US),Wisconsin (US-WI),,Federal Deposit Insurance Corporation (RA000744),9529,Savings Bank (QSJ1),GENERAL,ACTIVE,"1911-01-01 00:00:00
Website
www.newburg.bank"
549300LNJJYJMOPHAH96,https://lei.bloomberg.com/leis/view/549300LNJJYJMOPHAH96,Pasadena Federal Credit Union,"en
Legal Address
100 W Walnut St Fl 8
Pasadena, California (US-CA), 91124
UNITED STATES
Headquarters Address
100 W Walnut St Fl 8
Pasadena, California (US-CA), 91124
UNITED STATES",,,,UNITED STATES (US),,,National Credit Union Administration (RA000745),594,Credit Union (14OD),GENERAL,ACTIVE,1971-01-04 00:00:00
549300DMHEHNYZ2OLB41,https://lei.bloomberg.com/leis/view/549300DMHEHNYZ2OLB41,First United Bank and Trust Company,en,,"C/O Spend Life Wisely Company, Inc.
1400 West Main Street
Durant, Oklahoma (US-OK), 74701
UNITED STATES","1400 West Main Street
Durant, Oklahoma (US-OK), 74701
UNITED STATES",UNITED STATES (US),Oklahoma (US-OK),,(US-OK): Business Filing Department (Oklahoma Secretary of State) (RA000630),1100182073,Profit Corporation (BGH4),GENERAL,ACTIVE,1963-08-09 00:00:00
